simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,simplified_breed,simplified_size,days_in_shelter,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded,simplified_breed_encoded,simplified_size_encoded
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,51,0,1,0,2,0,0
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,31,2,1,0,1,0,0
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,SMALL,51,1,1,2,2,0,2
MIX,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,21,0,1,0,1,0,0
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,85,1,1,0,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,85,1,0,0,2,0,0
ONE COLOR,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,111,1,0,0,2,0,2
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,76,2,0,0,2,0,0
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,31,2,1,0,1,0,0
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,16,1,1,0,2,0,0
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,51,1,1,2,2,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,57,2,0,0,2,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,35,2,0,0,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,62,1,0,0,2,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,56,2,1,0,2,0,0
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,91,2,0,2,2,0,0
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,OTHER,KITTN,20,0,0,0,1,1,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,21,2,1,0,2,0,2
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,29,0,1,0,2,0,2
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,3,2,1,0,2,0,0
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,39,2,1,2,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,25,1,0,0,1,0,0
ONE COLOR,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,27,1,0,0,2,0,2
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,90,1,0,0,2,0,0
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,90,1,1,0,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,23,1,0,0,1,0,2
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,34,0,1,0,2,0,0
TABBY,MALE,1,ILL,STRAY,DOMESTIC BREED,OTHER,28,2,1,1,2,0,1
ONE COLOR,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,37,1,1,0,1,0,0
MIX,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,66,0,0,0,2,0,2
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,15,2,0,0,2,0,0
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,35,2,1,0,1,0,0
TABBY,MALE,0,HEALTHY,OTHER,DOMESTIC BREED,SMALL,64,2,1,0,0,0,2
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,67,2,1,2,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,38,1,0,0,1,0,0
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,38,2,0,0,1,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,30,0,1,0,2,0,2
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,26,1,0,0,2,0,0
MIX,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,46,0,0,2,2,0,0
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,46,2,1,2,2,0,0
MIX,MALE,0,HEALTHY,STRAY,OTHER,SMALL,27,0,1,0,2,1,2
MIX,FEMALE,2,OTHER,STRAY,DOMESTIC BREED,SMALL,47,0,0,2,2,0,2
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,40,2,1,0,1,0,0
ONE COLOR,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,80,1,0,2,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,57,1,0,0,2,0,2
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,30,2,1,0,1,0,0
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,86,2,1,2,2,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,32,2,1,0,2,0,2
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,43,2,0,0,1,0,0
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,OTHER,SMALL,52,2,0,0,1,1,2
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,50,2,1,2,2,0,0
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,45,2,0,0,1,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,59,1,0,0,2,0,0
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,59,1,1,0,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,31,1,0,0,2,0,2
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,48,1,0,0,1,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,28,2,1,0,2,0,0
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,53,2,1,2,2,0,0
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,77,2,0,2,2,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,24,2,1,0,2,0,2
MIX,FEMALE,2,HEALTHY,OTHER,DOMESTIC BREED,SMALL,10,0,0,0,0,0,2
MIX,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,SMALL,43,0,0,2,2,0,2
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,52,2,0,0,1,0,2
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,74,2,0,0,2,0,0
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,56,2,0,0,1,0,2
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,47,2,1,2,2,0,0
MIX,MALE,4,ILL,STRAY,DOMESTIC BREED,SMALL,17,0,1,1,2,0,2
ONE COLOR,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,35,1,0,0,2,0,2
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,16,0,0,0,1,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,29,0,1,0,2,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,8,2,1,0,2,0,0
ONE COLOR,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,56,1,0,1,2,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,4,2,0,0,2,0,0
TABBY,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,12,2,0,0,2,0,2
ONE COLOR,FEMALE,0,HEALTHY,OTHER,DOMESTIC BREED,KITTN,28,1,0,0,0,0,0
MIX,MALE,4,OTHER,OTHER,DOMESTIC BREED,SMALL,71,0,1,2,0,0,2
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,15,0,0,0,2,0,0
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,24,0,0,0,2,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,22,0,1,0,2,0,0
MIX,MALE,4,HEALTHY,STRAY,DOMESTIC BREED,OTHER,46,0,1,0,2,0,1
TABBY,FEMALE,2,ILL,STRAY,DOMESTIC BREED,SMALL,58,2,0,1,2,0,2
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,19,2,1,0,2,0,2
MIX,FEMALE,1,ILL,STRAY,DOMESTIC BREED,SMALL,63,0,0,1,2,0,2
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,31,1,1,0,2,0,2
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,62,2,1,1,2,0,0
ONE COLOR,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,17,1,1,0,2,0,2
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,46,2,0,0,1,0,0
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,25,2,1,1,2,0,0
MIX,MALE,1,HEALTHY,STRAY,OTHER,SMALL,20,0,1,0,2,1,2
TABBY,MALE,0,ILL,OTHER,DOMESTIC BREED,KITTN,78,2,1,1,0,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,18,0,1,0,2,0,2
ONE COLOR,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,17,1,0,1,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,14,1,0,0,1,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,9,2,0,0,2,0,0
MIX,MALE,9,ILL,STRAY,DOMESTIC BREED,SMALL,18,0,1,1,2,0,2
TABBY,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,33,2,0,0,2,0,2
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,14,2,0,0,1,0,0
MIX,MALE,0,OTHER,OWNER SURRENDER,DOMESTIC BREED,SMALL,10,0,1,2,1,0,2
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,11,2,0,0,2,0,2
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,3,2,1,0,1,0,2
ONE COLOR,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,64,1,1,1,2,0,0
MIX,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,32,0,0,1,2,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,41,2,1,0,2,0,0
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,11,0,0,0,2,0,2
MIX,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,60,0,1,1,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,9,1,0,0,1,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,25,2,1,0,2,0,0
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,66,2,1,1,2,0,0
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,32,0,0,0,2,0,0
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,18,0,0,0,2,0,0
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,96,2,1,1,2,0,0
TABBY,FEMALE,1,ILL,STRAY,DOMESTIC BREED,SMALL,64,2,0,1,2,0,2
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,SMALL,41,2,1,2,2,0,2
TABBY,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,57,2,0,1,2,0,0
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,30,2,0,0,1,0,0
TABBY,MALE,4,HEALTHY,STRAY,DOMESTIC BREED,SMALL,16,2,1,0,2,0,2
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,14,2,1,0,1,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,40,0,1,0,2,0,0
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,OTHER,8,1,1,0,2,0,1
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,15,2,0,0,2,0,0
ONE COLOR,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,68,1,0,1,2,0,0
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,OTHER,37,1,1,0,2,0,1
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,64,2,1,1,2,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,24,0,1,0,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,82,1,0,0,2,0,0
TABBY,MALE,10,ILL,OWNER SURRENDER,DOMESTIC BREED,SMALL,12,2,1,1,1,0,2
MIX,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,12,0,1,0,2,0,2
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,36,1,1,0,2,0,0
ONE COLOR,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,57,1,1,0,1,0,0
MIX,MALE,0,HEALTHY,STRAY,OTHER,KITTN,17,0,1,0,2,1,0
