simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,days_stayed
TABBY,MALE,4,ILL MILD,STRAY,36
BLACK,MALE,4,NORMAL,STRAY,9
TABBY,MALE,0,NORMAL,STRAY,57
TABBY,FEMALE,0,NORMAL,STRAY,17
GRAY,MALE,3,NORMAL,STRAY,10
OTHER,FEMALE,4,ILL MILD,OTHER,71
OTHER,MALE,4,NORMAL,STRAY,72
BLACK,MALE,0,OTHER,STRAY,195
TABBY,MALE,0,NORMAL,STRAY,6
OTHER,MALE,0,NORMAL,STRAY,11
TABBY,FEMALE,0,NORMAL,STRAY,16
TABBY,MALE,0,OTHER,STRAY,56
OTHER,MALE,0,NORMAL,STRAY,20
TABBY,MALE,0,NORMAL,STRAY,7
BLACK,MALE,0,NORMAL,STRAY,38
OTHER,FEMALE,0,NORMAL,STRAY,21
OTHER,FEMALE,9,NORMAL,OWNER SURRENDER,4
BLACK,MALE,0,UNDER WEIGHT,STRAY,47
BLACK,FEMALE,0,NORMAL,STRAY,57
TABBY,MALE,0,OTHER,STRAY,41
TABBY,MALE,0,OTHER,STRAY,10
TABBY,FEMALE,1,NORMAL,STRAY,42
OTHER,FEMALE,0,NORMAL,STRAY,126
GRAY,MALE,0,NORMAL,STRAY,8
OTHER,FEMALE,0,OTHER,STRAY,19
TABBY,FEMALE,4,OTHER,STRAY,118
TABBY,FEMALE,3,NORMAL,STRAY,3
TABBY,MALE,0,NORMAL,STRAY,3
OTHER,MALE,0,NORMAL,STRAY,77
TABBY,FEMALE,5,NORMAL,STRAY,122
TABBY,FEMALE,0,NORMAL,STRAY,4
TABBY,MALE,1,INJURED,STRAY,36
BLACK,MALE,9,NORMAL,STRAY,79
BLACK,MALE,3,OTHER,STRAY,184
OTHER,MALE,2,NORMAL,STRAY,69
BLACK,MALE,4,NORMAL,STRAY,31
BLACK,MALE,4,OTHER,STRAY,114
GRAY,MALE,0,NORMAL,STRAY,72
BLACK,FEMALE,5,NORMAL,OWNER SURRENDER,57
