simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,days_stayed
OTHER,FEMALE,0,NORMAL,STRAY,50
TABBY,MALE,8,NORMAL,OTHER,34
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,14
WHITE,MALE,1,NORMAL,OWNER SURRENDER,202
BLACK,FEMALE,1,NORMAL,STRAY,37
BLACK,MALE,0,NORMAL,STRAY,37
BLACK,MALE,7,INJURED,STRAY,57
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,97
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,7
TABBY,FEMALE,0,ILL MILD,STRAY,16
BLACK,MALE,0,ILL MILD,STRAY,15
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,27
OTHER,MALE,0,UNDER WEIGHT,STRAY,70
WHITE,FEMALE,0,UNDER WEIGHT,STRAY,8
WHITE,MALE,0,ILL MILD,STRAY,39
OTHER,MALE,0,INJURED,STRAY,7
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,28
OTHER,FEMALE,7,NORMAL,OTHER,16
OTHER,MALE,0,NORMAL,STRAY,7
BLACK,MALE,0,NORMAL,STRAY,42
TABBY,MALE,0,UNDER WEIGHT,STRAY,6
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,24
BLACK,MALE,0,NORMAL,STRAY,202
GRAY,MALE,0,UNDER WEIGHT,STRAY,23
WHITE,MALE,0,NORMAL,OWNER SURRENDER,128
OTHER,FEMALE,1,NORMAL,OWNER SURRENDER,91
BLACK,MALE,0,UNDER WEIGHT,STRAY,48
WHITE,MALE,0,UNDER WEIGHT,STRAY,43
OTHER,MALE,4,NORMAL,STRAY,50
GRAY,MALE,0,UNDER WEIGHT,STRAY,52
BLACK,MALE,0,ILL MILD,STRAY,10
TABBY,MALE,0,INJURED,STRAY,45
BLACK,FEMALE,9,NORMAL,OWNER SURRENDER,8
TABBY,MALE,0,NORMAL,STRAY,216
TABBY,MALE,0,NORMAL,STRAY,216
OTHER,FEMALE,0,NORMAL,STRAY,10
WHITE,MALE,0,UNDER WEIGHT,STRAY,24
TABBY,MALE,0,NORMAL,STRAY,37
OTHER,FEMALE,8,INJURED,STRAY,92
TABBY,MALE,0,NORMAL,STRAY,119
TABBY,MALE,0,UNDER WEIGHT,STRAY,79
TABBY,MALE,2,NORMAL,OWNER SURRENDER,157
BLACK,FEMALE,0,ILL MILD,STRAY,18
WHITE,FEMALE,1,NORMAL,OWNER SURRENDER,36
OTHER,MALE,0,NORMAL,STRAY,13
BLACK,MALE,0,UNDER WEIGHT,STRAY,58
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,72
OTHER,MALE,0,UNDER WEIGHT,STRAY,6
OTHER,FEMALE,0,NORMAL,STRAY,32
OTHER,FEMALE,0,NORMAL,STRAY,75
TABBY,MALE,0,NORMAL,STRAY,3
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,7
TABBY,MALE,1,NORMAL,STRAY,70
TABBY,MALE,0,NORMAL,STRAY,17
OTHER,MALE,0,NORMAL,STRAY,5
BLACK,MALE,0,NORMAL,STRAY,92
TABBY,FEMALE,3,NORMAL,OTHER,133
WHITE,FEMALE,0,NORMAL,STRAY,1
BLACK,MALE,0,UNDER WEIGHT,STRAY,23
BLACK,FEMALE,3,NORMAL,STRAY,9
BLACK,FEMALE,0,NORMAL,STRAY,42
OTHER,FEMALE,0,NORMAL,STRAY,42
GRAY,FEMALE,0,NORMAL,STRAY,17
TABBY,FEMALE,0,NORMAL,STRAY,51
OTHER,FEMALE,1,OTHER,STRAY,79
OTHER,FEMALE,1,INJURED,STRAY,73
TABBY,FEMALE,4,OTHER,STRAY,39
TABBY,MALE,1,INJURED,STRAY,12
BLACK,MALE,4,NORMAL,OTHER,18
TABBY,MALE,4,ILL SEVERE,STRAY,52
OTHER,MALE,0,UNDER WEIGHT,STRAY,54
BLACK,FEMALE,7,NORMAL,STRAY,18
TABBY,FEMALE,4,NORMAL,OWNER SURRENDER,20
GRAY,MALE,0,NORMAL,STRAY,30
TABBY,MALE,6,INJURED,STRAY,61
TABBY,MALE,1,NORMAL,STRAY,8
GRAY,MALE,1,NORMAL,STRAY,3
GRAY,MALE,4,NORMAL,OWNER SURRENDER,28
OTHER,MALE,0,UNDER WEIGHT,STRAY,38
BLACK,MALE,4,NORMAL,OWNER SURRENDER,30
BLACK,MALE,0,OTHER,STRAY,56
BLACK,MALE,0,UNDER WEIGHT,STRAY,39
TABBY,MALE,0,UNDER WEIGHT,STRAY,3
OTHER,MALE,0,UNDER WEIGHT,STRAY,13
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,111
BLACK,MALE,0,OTHER,STRAY,17
BLACK,FEMALE,0,ILL MILD,STRAY,39
WHITE,FEMALE,0,OTHER,OTHER,9
BLACK,MALE,0,OTHER,OTHER,90
BLACK,FEMALE,0,NORMAL,STRAY,33
BLACK,MALE,0,NORMAL,STRAY,58
TABBY,MALE,0,ILL MILD,STRAY,117
GRAY,MALE,0,ILL MILD,STRAY,3
TABBY,MALE,0,OTHER,STRAY,91
TABBY,MALE,1,INJURED,STRAY,22
GRAY,FEMALE,0,OTHER,STRAY,103
BLACK,FEMALE,4,INJURED,STRAY,48
BLACK,MALE,0,OTHER,STRAY,75
TABBY,FEMALE,0,ILL MILD,STRAY,74
OTHER,MALE,0,INJURED,STRAY,23
GRAY,FEMALE,1,UNDER WEIGHT,STRAY,33
OTHER,FEMALE,0,ILL MILD,STRAY,49
BLACK,MALE,0,UNDER WEIGHT,STRAY,128
OTHER,FEMALE,2,NORMAL,STRAY,56
TABBY,MALE,0,UNDER WEIGHT,STRAY,98
TABBY,MALE,0,NORMAL,STRAY,48
BLACK,MALE,0,UNDER WEIGHT,STRAY,59
WHITE,FEMALE,0,NORMAL,OWNER SURRENDER,80
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,85
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,50
GRAY,MALE,1,NORMAL,OWNER SURRENDER,46
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,81
TABBY,MALE,0,UNDER WEIGHT,STRAY,138
TABBY,FEMALE,0,NORMAL,STRAY,72
TABBY,FEMALE,0,NORMAL,OWNER SURRENDER,96
WHITE,MALE,0,UNDER WEIGHT,STRAY,105
BLACK,MALE,0,UNDER WEIGHT,STRAY,6
TABBY,MALE,0,NORMAL,STRAY,38
TABBY,MALE,5,INJURED,OWNER SURRENDER,65
OTHER,FEMALE,0,NORMAL,STRAY,96
TABBY,MALE,9,NORMAL,STRAY,82
BLACK,FEMALE,5,NORMAL,OTHER,78
BLACK,MALE,0,NORMAL,STRAY,3
OTHER,MALE,6,NORMAL,OWNER SURRENDER,35
OTHER,FEMALE,0,NORMAL,STRAY,29
BLACK,MALE,0,OTHER,STRAY,35
OTHER,FEMALE,0,OTHER,OTHER,12
TABBY,FEMALE,8,ILL SEVERE,STRAY,31
TABBY,FEMALE,2,NORMAL,STRAY,15
TABBY,FEMALE,2,NORMAL,OWNER SURRENDER,7
BLACK,MALE,1,NORMAL,STRAY,5
BLACK,MALE,0,NORMAL,STRAY,11
BLACK,MALE,0,OTHER,OTHER,86
OTHER,MALE,0,NORMAL,STRAY,11
BLACK,FEMALE,0,NORMAL,STRAY,40
GRAY,MALE,0,OTHER,OWNER SURRENDER,25
BLACK,FEMALE,1,NORMAL,OWNER SURRENDER,6
BLACK,MALE,4,NORMAL,STRAY,11
BLACK,MALE,5,NORMAL,OWNER SURRENDER,10
OTHER,FEMALE,0,INJURED,STRAY,16
OTHER,FEMALE,0,NORMAL,STRAY,8
OTHER,FEMALE,1,NORMAL,OWNER SURRENDER,23
OTHER,MALE,0,NORMAL,STRAY,197
GRAY,MALE,1,INJURED,STRAY,32
TABBY,MALE,6,NORMAL,STRAY,25
OTHER,FEMALE,0,NORMAL,STRAY,7
TABBY,FEMALE,1,NORMAL,STRAY,247
BLACK,MALE,0,INJURED,STRAY,3
BLACK,FEMALE,7,NORMAL,STRAY,50
TABBY,MALE,7,NORMAL,OTHER,34
TABBY,MALE,0,NORMAL,STRAY,40
TABBY,FEMALE,0,NORMAL,STRAY,19
BLACK,FEMALE,4,NORMAL,OWNER SURRENDER,51
BLACK,MALE,0,NORMAL,STRAY,57
OTHER,FEMALE,0,NORMAL,STRAY,6
WHITE,MALE,0,NORMAL,STRAY,9
OTHER,FEMALE,0,ILL MILD,OWNER SURRENDER,2
TABBY,FEMALE,6,NORMAL,STRAY,21
BLACK,FEMALE,0,NORMAL,OTHER,9
TABBY,MALE,0,NORMAL,STRAY,6
TABBY,MALE,0,OTHER,STRAY,27
BLACK,MALE,0,NORMAL,OWNER SURRENDER,9
OTHER,FEMALE,0,OTHER,STRAY,64
TABBY,MALE,5,INJURED,STRAY,147
GRAY,MALE,0,NORMAL,STRAY,2
BLACK,FEMALE,1,NORMAL,STRAY,72
BLACK,MALE,0,NORMAL,STRAY,14
GRAY,MALE,0,NORMAL,STRAY,5
GRAY,MALE,0,NORMAL,STRAY,66
GRAY,FEMALE,2,NORMAL,STRAY,24
BLACK,MALE,0,NORMAL,STRAY,23
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,51
BLACK,MALE,0,UNDER WEIGHT,STRAY,71
GRAY,MALE,5,NORMAL,STRAY,98
TABBY,MALE,9,INJURED,STRAY,32
BLACK,MALE,0,NORMAL,STRAY,77
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,38
WHITE,FEMALE,0,NORMAL,STRAY,28
OTHER,FEMALE,0,NORMAL,STRAY,18
OTHER,FEMALE,3,NORMAL,STRAY,59
TABBY,FEMALE,0,NORMAL,STRAY,8
TABBY,MALE,0,NORMAL,STRAY,8
TABBY,FEMALE,0,NORMAL,STRAY,15
BLACK,MALE,0,NORMAL,STRAY,50
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,26
OTHER,FEMALE,0,NORMAL,STRAY,55
TABBY,FEMALE,0,OTHER,STRAY,17
BLACK,FEMALE,0,NORMAL,STRAY,27
BLACK,MALE,0,NORMAL,STRAY,63
BLACK,MALE,4,NORMAL,STRAY,24
TABBY,FEMALE,0,NORMAL,STRAY,7
WHITE,FEMALE,1,NORMAL,OTHER,18
OTHER,FEMALE,0,ILL MILD,STRAY,27
WHITE,FEMALE,4,NORMAL,STRAY,43
GRAY,FEMALE,5,NORMAL,STRAY,35
TABBY,MALE,3,INJURED,STRAY,28
TABBY,MALE,4,NORMAL,STRAY,14
OTHER,FEMALE,1,NORMAL,STRAY,10
TABBY,FEMALE,2,NORMAL,OTHER,13
TABBY,FEMALE,0,NORMAL,STRAY,107
BLACK,FEMALE,9,ILL SEVERE,OTHER,117
WHITE,FEMALE,6,NORMAL,STRAY,82
BLACK,MALE,7,INJURED,STRAY,9
TABBY,FEMALE,2,ILL SEVERE,STRAY,15
OTHER,MALE,2,NORMAL,OWNER SURRENDER,16
OTHER,FEMALE,0,NORMAL,STRAY,5
OTHER,FEMALE,0,NORMAL,STRAY,76
OTHER,FEMALE,8,INJURED,STRAY,18
GRAY,FEMALE,1,NORMAL,OWNER SURRENDER,49
OTHER,MALE,3,NORMAL,OWNER SURRENDER,121
TABBY,FEMALE,1,NORMAL,STRAY,118
OTHER,MALE,4,NORMAL,STRAY,7
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,90
OTHER,FEMALE,0,NORMAL,STRAY,89
TABBY,MALE,0,NORMAL,STRAY,5
WHITE,FEMALE,0,NORMAL,STRAY,11
OTHER,FEMALE,0,NORMAL,STRAY,3
WHITE,MALE,4,OTHER,OTHER,27
TABBY,MALE,2,NORMAL,OWNER SURRENDER,43
WHITE,MALE,0,NORMAL,OTHER,64
BLACK,MALE,0,INJURED,STRAY,46
GRAY,FEMALE,0,NORMAL,OTHER,89
GRAY,FEMALE,0,NORMAL,STRAY,150
TABBY,FEMALE,0,NORMAL,STRAY,35
GRAY,MALE,0,OTHER,STRAY,55
TABBY,MALE,0,NORMAL,STRAY,33
TABBY,FEMALE,0,NORMAL,STRAY,31
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,104
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,75
TABBY,MALE,3,NORMAL,STRAY,19
GRAY,MALE,0,NORMAL,STRAY,11
TABBY,FEMALE,0,INJURED,STRAY,184
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,41
GRAY,FEMALE,0,ILL MILD,STRAY,4
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,103
TABBY,MALE,4,NORMAL,STRAY,31
OTHER,FEMALE,3,NORMAL,STRAY,29
GRAY,MALE,3,NORMAL,STRAY,21
BLACK,MALE,1,NORMAL,OTHER,177
BLACK,MALE,0,NORMAL,STRAY,33
BLACK,MALE,6,ILL MILD,STRAY,15
TABBY,MALE,2,INJURED,STRAY,136
GRAY,MALE,0,NORMAL,STRAY,15
BLACK,MALE,0,UNDER WEIGHT,STRAY,104
GRAY,MALE,2,NORMAL,OTHER,10
GRAY,FEMALE,0,INJURED,STRAY,25
OTHER,MALE,2,NORMAL,STRAY,16
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,18
BLACK,MALE,0,NORMAL,OTHER,55
WHITE,MALE,6,NORMAL,OWNER SURRENDER,28
GRAY,FEMALE,0,NORMAL,STRAY,117
OTHER,FEMALE,0,NORMAL,STRAY,117
BLACK,MALE,4,INJURED,STRAY,10
TABBY,MALE,0,NORMAL,OWNER SURRENDER,10
OTHER,MALE,7,NORMAL,OWNER SURRENDER,55
TABBY,MALE,0,INJURED,STRAY,17
GRAY,MALE,0,NORMAL,OWNER SURRENDER,15
TABBY,FEMALE,3,NORMAL,STRAY,8
BLACK,MALE,0,NORMAL,STRAY,60
GRAY,MALE,5,OTHER,OWNER SURRENDER,147
TABBY,FEMALE,8,NORMAL,STRAY,232
BLACK,FEMALE,0,NORMAL,STRAY,10
BLACK,MALE,0,UNDER WEIGHT,STRAY,127
BLACK,MALE,0,UNDER WEIGHT,STRAY,96
TABBY,MALE,0,ILL MILD,STRAY,21
BLACK,FEMALE,1,NORMAL,OWNER SURRENDER,14
GRAY,FEMALE,0,NORMAL,STRAY,137
OTHER,FEMALE,0,NORMAL,STRAY,52
GRAY,MALE,0,UNDER WEIGHT,STRAY,51
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,49
BLACK,MALE,0,NORMAL,STRAY,46
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,61
BLACK,MALE,1,NORMAL,OWNER SURRENDER,122
OTHER,FEMALE,6,NORMAL,OWNER SURRENDER,3
GRAY,MALE,0,ILL MILD,STRAY,2
GRAY,FEMALE,1,OTHER,OWNER SURRENDER,98
BLACK,MALE,4,NORMAL,STRAY,12
BLACK,MALE,1,INJURED,STRAY,104
GRAY,MALE,0,NORMAL,OWNER SURRENDER,27
GRAY,FEMALE,0,UNDER WEIGHT,STRAY,2
WHITE,FEMALE,0,UNDER WEIGHT,STRAY,7
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,20
OTHER,FEMALE,8,NORMAL,OWNER SURRENDER,30
OTHER,FEMALE,2,NORMAL,OWNER SURRENDER,36
OTHER,FEMALE,1,NORMAL,OWNER SURRENDER,41
GRAY,FEMALE,0,NORMAL,STRAY,20
GRAY,FEMALE,0,NORMAL,STRAY,62
BLACK,MALE,1,NORMAL,OWNER SURRENDER,22
OTHER,FEMALE,0,OTHER,STRAY,194
BLACK,MALE,0,UNDER WEIGHT,STRAY,1
TABBY,MALE,0,NORMAL,STRAY,14
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,10
TABBY,FEMALE,3,NORMAL,STRAY,18
OTHER,FEMALE,1,INJURED,STRAY,11
WHITE,MALE,0,NORMAL,STRAY,6
OTHER,FEMALE,0,NORMAL,STRAY,1
BLACK,MALE,0,ILL MILD,STRAY,77
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,17
TABBY,MALE,0,NORMAL,STRAY,1
BLACK,FEMALE,0,NORMAL,STRAY,26
BLACK,MALE,0,UNDER WEIGHT,STRAY,68
TABBY,MALE,0,NORMAL,OTHER,14
BLACK,MALE,0,UNDER WEIGHT,STRAY,28
TABBY,MALE,0,UNDER WEIGHT,STRAY,22
BLACK,FEMALE,0,OTHER,STRAY,15
TABBY,FEMALE,0,OTHER,STRAY,44
WHITE,FEMALE,0,NORMAL,STRAY,44
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,32
GRAY,FEMALE,0,UNDER WEIGHT,STRAY,27
TABBY,MALE,0,UNDER WEIGHT,STRAY,34
WHITE,MALE,5,NORMAL,OWNER SURRENDER,41
BLACK,MALE,0,UNDER WEIGHT,STRAY,13
GRAY,FEMALE,0,OTHER,STRAY,125
GRAY,MALE,0,ILL MILD,STRAY,220
TABBY,FEMALE,1,INJURED,STRAY,127
BLACK,MALE,0,UNDER WEIGHT,STRAY,17
TABBY,MALE,2,OTHER,OWNER SURRENDER,110
GRAY,MALE,0,ILL MILD,STRAY,24
TABBY,FEMALE,0,ILL MILD,STRAY,15
OTHER,FEMALE,0,ILL SEVERE,STRAY,37
OTHER,FEMALE,1,NORMAL,OWNER SURRENDER,98
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,21
GRAY,FEMALE,0,NORMAL,OTHER,2
BLACK,MALE,0,NORMAL,STRAY,94
BLACK,FEMALE,0,NORMAL,STRAY,113
GRAY,FEMALE,0,NORMAL,STRAY,3
TABBY,FEMALE,0,NORMAL,STRAY,2
OTHER,MALE,0,UNDER WEIGHT,STRAY,6
OTHER,MALE,1,NORMAL,STRAY,106
WHITE,FEMALE,0,UNDER WEIGHT,STRAY,41
BLACK,MALE,0,ILL MILD,STRAY,42
WHITE,MALE,0,ILL MILD,STRAY,29
BLACK,FEMALE,1,NORMAL,OWNER SURRENDER,244
GRAY,MALE,0,OTHER,STRAY,0
OTHER,FEMALE,4,INJURED,STRAY,6
TABBY,MALE,0,INJURED,STRAY,32
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,139
OTHER,FEMALE,0,ILL SEVERE,STRAY,145
TABBY,MALE,0,ILL MILD,STRAY,6
OTHER,FEMALE,7,NORMAL,OWNER SURRENDER,21
BLACK,MALE,2,ILL SEVERE,STRAY,64
TABBY,MALE,1,INJURED,STRAY,157
BLACK,FEMALE,0,ILL MILD,STRAY,4
OTHER,MALE,0,ILL MILD,STRAY,29
TABBY,FEMALE,1,OTHER,STRAY,85
GRAY,MALE,0,UNDER WEIGHT,STRAY,17
OTHER,MALE,0,UNDER WEIGHT,STRAY,9
BLACK,FEMALE,0,NORMAL,STRAY,9
GRAY,MALE,0,OTHER,STRAY,31
TABBY,FEMALE,8,NORMAL,OTHER,45
BLACK,MALE,0,UNDER WEIGHT,STRAY,22
OTHER,MALE,2,INJURED,STRAY,98
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,178
OTHER,MALE,0,NORMAL,OTHER,14
BLACK,FEMALE,0,NORMAL,STRAY,115
TABBY,FEMALE,0,ILL MILD,STRAY,65
WHITE,MALE,0,ILL MILD,STRAY,2
WHITE,FEMALE,0,NORMAL,STRAY,34
BLACK,MALE,0,ILL MILD,STRAY,131
BLACK,MALE,0,ILL MILD,STRAY,37
TABBY,MALE,0,UNDER WEIGHT,STRAY,131
BLACK,MALE,0,ILL MILD,STRAY,116
GRAY,MALE,0,UNDER WEIGHT,STRAY,67
WHITE,MALE,1,INJURED,STRAY,69
BLACK,MALE,0,ILL MILD,STRAY,104
BLACK,MALE,0,UNDER WEIGHT,STRAY,108
BLACK,FEMALE,0,OTHER,STRAY,93
BLACK,MALE,0,NORMAL,STRAY,104
BLACK,FEMALE,2,OTHER,STRAY,82
WHITE,MALE,0,OTHER,STRAY,87
BLACK,FEMALE,0,NORMAL,STRAY,32
WHITE,FEMALE,0,NORMAL,STRAY,46
OTHER,MALE,8,NORMAL,OWNER SURRENDER,66
BLACK,MALE,6,NORMAL,OWNER SURRENDER,66
OTHER,FEMALE,8,NORMAL,OWNER SURRENDER,49
TABBY,FEMALE,6,NORMAL,STRAY,37
TABBY,MALE,5,NORMAL,OWNER SURRENDER,70
GRAY,MALE,6,OTHER,OTHER,14
BLACK,MALE,0,NORMAL,STRAY,16
WHITE,FEMALE,0,NORMAL,STRAY,6
TABBY,MALE,3,NORMAL,STRAY,7
GRAY,FEMALE,7,NORMAL,OWNER SURRENDER,68
BLACK,FEMALE,1,NORMAL,OWNER SURRENDER,155
GRAY,FEMALE,2,NORMAL,STRAY,10
OTHER,MALE,4,NORMAL,OWNER SURRENDER,86
TABBY,MALE,4,NORMAL,OWNER SURRENDER,88
TABBY,MALE,8,OTHER,STRAY,52
TABBY,MALE,0,NORMAL,STRAY,11
OTHER,FEMALE,4,NORMAL,OWNER SURRENDER,50
WHITE,MALE,0,NORMAL,STRAY,116
TABBY,MALE,4,NORMAL,STRAY,65
TABBY,MALE,7,NORMAL,STRAY,45
OTHER,MALE,3,NORMAL,OTHER,18
BLACK,MALE,0,NORMAL,STRAY,76
TABBY,MALE,0,NORMAL,STRAY,10
TABBY,MALE,7,NORMAL,OWNER SURRENDER,23
TABBY,MALE,0,OTHER,STRAY,9
BLACK,FEMALE,0,NORMAL,STRAY,14
TABBY,MALE,0,NORMAL,STRAY,11
WHITE,FEMALE,2,NORMAL,STRAY,13
TABBY,FEMALE,0,OTHER,STRAY,10
TABBY,MALE,0,NORMAL,STRAY,12
TABBY,FEMALE,0,NORMAL,OWNER SURRENDER,6
TABBY,MALE,6,OTHER,STRAY,62
OTHER,FEMALE,4,NORMAL,STRAY,18
OTHER,FEMALE,0,NORMAL,STRAY,15
TABBY,FEMALE,0,OTHER,STRAY,69
TABBY,MALE,0,OTHER,STRAY,21
TABBY,MALE,0,NORMAL,STRAY,18
OTHER,FEMALE,0,ILL SEVERE,STRAY,1
BLACK,FEMALE,0,NORMAL,STRAY,22
TABBY,FEMALE,3,NORMAL,OWNER SURRENDER,23
OTHER,MALE,0,OTHER,STRAY,25
TABBY,MALE,0,NORMAL,STRAY,9
BLACK,MALE,0,NORMAL,STRAY,13
TABBY,FEMALE,1,NORMAL,STRAY,248
TABBY,MALE,0,NORMAL,STRAY,9
OTHER,FEMALE,3,NORMAL,STRAY,12
GRAY,MALE,0,OTHER,STRAY,36
GRAY,MALE,0,UNDER WEIGHT,STRAY,5
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,67
BLACK,MALE,0,NORMAL,STRAY,49
TABBY,FEMALE,3,NORMAL,STRAY,146
OTHER,MALE,0,OTHER,STRAY,28
TABBY,MALE,0,UNDER WEIGHT,STRAY,34
OTHER,MALE,0,UNDER WEIGHT,STRAY,143
TABBY,MALE,4,NORMAL,STRAY,27
OTHER,MALE,0,NORMAL,STRAY,30
BLACK,MALE,8,NORMAL,OWNER SURRENDER,139
TABBY,MALE,0,NORMAL,STRAY,112
OTHER,FEMALE,4,NORMAL,STRAY,184
TABBY,MALE,4,NORMAL,STRAY,213
OTHER,MALE,0,UNDER WEIGHT,STRAY,122
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,122
TABBY,MALE,2,NORMAL,STRAY,9
OTHER,MALE,4,NORMAL,STRAY,12
OTHER,MALE,0,NORMAL,STRAY,11
TABBY,MALE,6,NORMAL,STRAY,6
OTHER,MALE,0,OTHER,STRAY,15
OTHER,MALE,3,NORMAL,OWNER SURRENDER,3
BLACK,FEMALE,4,NORMAL,STRAY,11
BLACK,MALE,4,NORMAL,OWNER SURRENDER,28
TABBY,MALE,0,INJURED,STRAY,8
BLACK,FEMALE,0,NORMAL,STRAY,27
WHITE,FEMALE,0,NORMAL,OWNER SURRENDER,90
TABBY,MALE,0,NORMAL,STRAY,6
TABBY,MALE,3,NORMAL,STRAY,6
BLACK,FEMALE,0,NORMAL,STRAY,7
OTHER,FEMALE,1,NORMAL,OTHER,74
BLACK,MALE,0,INJURED,STRAY,35
OTHER,FEMALE,3,NORMAL,STRAY,8
BLACK,MALE,0,NORMAL,STRAY,52
BLACK,MALE,0,OTHER,STRAY,17
TABBY,MALE,0,NORMAL,STRAY,5
OTHER,FEMALE,0,NORMAL,STRAY,16
WHITE,MALE,0,UNDER WEIGHT,STRAY,254
TABBY,MALE,0,UNDER WEIGHT,STRAY,254
TABBY,MALE,0,NORMAL,STRAY,62
WHITE,FEMALE,0,NORMAL,STRAY,8
BLACK,FEMALE,0,NORMAL,STRAY,35
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,47
OTHER,MALE,5,NORMAL,OWNER SURRENDER,99
TABBY,MALE,0,OTHER,STRAY,55
TABBY,MALE,0,NORMAL,STRAY,72
OTHER,FEMALE,4,NORMAL,STRAY,57
TABBY,MALE,0,NORMAL,STRAY,8
GRAY,MALE,1,NORMAL,STRAY,106
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,254
TABBY,MALE,3,NORMAL,OWNER SURRENDER,10
WHITE,FEMALE,0,OTHER,STRAY,38
OTHER,FEMALE,0,OTHER,STRAY,41
BLACK,FEMALE,5,NORMAL,OWNER SURRENDER,68
OTHER,MALE,0,NORMAL,STRAY,12
WHITE,MALE,8,NORMAL,OWNER SURRENDER,18
TABBY,MALE,0,NORMAL,STRAY,32
TABBY,MALE,0,NORMAL,STRAY,56
WHITE,FEMALE,0,UNDER WEIGHT,STRAY,133
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,154
TABBY,FEMALE,0,NORMAL,STRAY,210
TABBY,FEMALE,9,NORMAL,OWNER SURRENDER,4
BLACK,MALE,0,NORMAL,STRAY,12
GRAY,MALE,0,NORMAL,OWNER SURRENDER,94
TABBY,FEMALE,0,INJURED,STRAY,22
OTHER,MALE,0,NORMAL,STRAY,24
OTHER,FEMALE,0,NORMAL,STRAY,67
TABBY,FEMALE,0,NORMAL,STRAY,50
TABBY,FEMALE,0,NORMAL,STRAY,95
BLACK,FEMALE,1,NORMAL,STRAY,164
GRAY,FEMALE,9,NORMAL,STRAY,94
BLACK,MALE,0,NORMAL,STRAY,78
BLACK,MALE,3,NORMAL,STRAY,7
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,152
TABBY,MALE,0,NORMAL,STRAY,22
TABBY,FEMALE,0,NORMAL,STRAY,96
BLACK,FEMALE,0,NORMAL,STRAY,96
GRAY,FEMALE,4,OTHER,OWNER SURRENDER,54
OTHER,MALE,0,OTHER,STRAY,36
BLACK,MALE,0,UNDER WEIGHT,STRAY,32
TABBY,FEMALE,4,NORMAL,STRAY,99
WHITE,FEMALE,3,NORMAL,STRAY,66
TABBY,FEMALE,3,NORMAL,STRAY,52
TABBY,MALE,0,OTHER,STRAY,43
OTHER,FEMALE,0,NORMAL,STRAY,19
TABBY,MALE,0,NORMAL,STRAY,23
TABBY,FEMALE,0,OTHER,STRAY,20
OTHER,FEMALE,4,ILL MILD,OWNER SURRENDER,32
WHITE,FEMALE,4,NORMAL,STRAY,28
BLACK,FEMALE,3,NORMAL,OWNER SURRENDER,25
BLACK,MALE,2,NORMAL,OTHER,25
TABBY,MALE,0,NORMAL,STRAY,47
BLACK,FEMALE,0,NORMAL,STRAY,4
OTHER,FEMALE,1,NORMAL,STRAY,86
OTHER,FEMALE,4,NORMAL,OTHER,32
BLACK,MALE,0,INJURED,STRAY,5
BLACK,FEMALE,8,NORMAL,OWNER SURRENDER,146
BLACK,MALE,8,NORMAL,OWNER SURRENDER,46
OTHER,FEMALE,1,NORMAL,STRAY,27
BLACK,MALE,0,ILL SEVERE,STRAY,171
TABBY,MALE,0,UNDER WEIGHT,STRAY,89
OTHER,MALE,0,UNDER WEIGHT,STRAY,105
WHITE,FEMALE,0,INJURED,STRAY,25
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,69
BLACK,MALE,0,UNDER WEIGHT,STRAY,22
OTHER,FEMALE,0,NORMAL,STRAY,173
