intake_age,days_in_shelter,simplified_color_one_color,simplified_color_tabby,simplified_sex_male,simplified_condition_ill,simplified_condition_other,simplified_type_owner_surrender,simplified_type_stray,simplified_breed_other,simplified_size_other,simplified_size_small
0,56,1,0,1,0,0,0,1,0,0,0
0,6,1,0,1,0,0,1,0,0,0,1
0,43,0,1,1,1,0,1,0,0,0,0
4,36,1,0,0,1,0,0,1,0,0,1
0,38,0,1,0,1,0,0,1,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
1,31,0,0,1,0,0,0,1,0,0,1
0,3,0,1,1,0,0,1,0,0,0,0
0,41,0,1,1,0,0,0,0,0,0,0
0,5,1,0,1,0,0,0,1,0,0,0
0,24,0,1,1,0,0,0,0,0,0,1
9,112,1,0,1,0,0,0,0,0,0,1
0,73,0,0,0,0,0,1,0,0,0,0
4,23,1,0,1,0,0,0,0,0,0,1
0,9,1,0,0,0,0,0,1,0,0,1
0,41,0,1,0,0,1,0,1,0,0,0
4,14,0,0,0,0,0,1,0,0,0,1
0,5,0,0,0,0,0,0,1,1,0,0
