Type,Breed,Color,Sex,Size,Days in Shelter,Intake Type,Outcome Type,Intake Condition,Age,Encoded Color,Encoded Breed,Encoded Intake Condition,Encoded Size,Encoded Sex
CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,50,STRAY,ADOPTION,HEALTHY,1,5,2,0,3,3
CAT,DOMESTIC LH,BRN TABBY/WHITE,Neutered,KITTN,120,STRAY,ADOPTION,UNKNOWN,2,6,0,3,0,2
CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,89,STRAY,ADOPTION,TREATABLE/REHAB,3,6,2,2,0,2
CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,29,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,3,2
CAT,DOMESTIC SH,GRAY TABBY/TORTIE,Spayed,KITTN,34,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC SH,BUFF,Spayed,SMALL,126,OWNER SURRENDER,ADOPTION,HEALTHY,10,5,2,0,3,3
CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,29,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,3,2
CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,9,STRAY,ADOPTION,HEALTHY,1,5,2,0,3,2
CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,94,STRAY,ADOPTION,HEALTHY,3,6,2,0,3,2
CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,51,STRAY,ADOPTION,HEALTHY,2,6,2,0,3,2
CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,58,STRAY,ADOPTION,HEALTHY,0,6,2,0,3,3
CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,13,ADOPTION RETURN,ADOPTION,TREATABLE/REHAB,0,5,2,2,3,2
CAT,DOMESTIC MH,BLACK/WHITE,Spayed,SMALL,84,QUARANTINE,ADOPTION,TREATABLE/REHAB,8,5,1,2,3,3
CAT,DOMESTIC MH,ORG TABBY,Neutered,KITTN,47,STRAY,ADOPTION,HEALTHY,3,6,1,0,0,2
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,24,STRAY,ADOPTION,HEALTHY,1,5,2,0,3,2
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,40,STRAY,ADOPTION,HEALTHY,0,0,2,0,0,3
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,29,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,29,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,20,STRAY,ADOPTION,HEALTHY,0,5,2,0,3,2
CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,35,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,3
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,35,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,3
CAT,DOMESTIC SH,CALICO,Spayed,SMALL,94,STRAY,ADOPTION,UNKNOWN,2,2,2,3,3,3
CAT,DOMESTIC MH,GRAY TABBY,Spayed,KITTN,45,STRAY,ADOPTION,UNKNOWN,0,6,1,3,0,3
CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,59,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,KITTN,25,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,1,0,0,3
CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,79,STRAY,ADOPTION,HEALTHY,0,5,2,0,0,3
CAT,DOMESTIC SH,BLK TABBY/TORTIE,Spayed,KITTN,36,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,3
CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,KITTN,25,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,1,0,0,3
CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,81,STRAY,ADOPTION,UNKNOWN,0,5,2,3,0,3
CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,16,STRAY,ADOPTION,HEALTHY,0,6,2,0,3,2
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,63,STRAY,ADOPTION,TREATABLE/REHAB,7,6,2,2,0,2
CAT,SIAMESE,SEAL PT,Spayed,SMALL,42,STRAY,ADOPTION,HEALTHY,4,5,3,0,3,3
CAT,DOMESTIC SH,BUFF,Neutered,KITTN,82,STRAY,ADOPTION,HEALTHY,0,5,2,0,0,2
CAT,DOMESTIC SH,LILAC PT,Spayed,SMALL,15,STRAY,ADOPTION,HEALTHY,7,5,2,0,3,3
CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,52,STRAY,ADOPTION,TREATABLE/REHAB,0,6,2,2,0,2
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,15,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC MH,BRN TABBY,Spayed,KITTN,73,STRAY,ADOPTION,UNKNOWN,0,6,1,3,0,3
CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,45,STRAY,ADOPTION,HEALTHY,1,6,2,0,3,3
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,47,STRAY,ADOPTION,UNKNOWN,0,0,2,3,0,2
CAT,DOMESTIC MH,BLACK/WHITE,Neutered,KITTN,52,STRAY,ADOPTION,HEALTHY,0,5,1,0,0,2
CAT,DOMESTIC LH,WHITE/BLACK,Neutered,SMALL,20,STRAY,ADOPTION,HEALTHY,1,5,0,0,3,2
CAT,DOMESTIC SH,BLACK,Spayed,SMALL,48,CONFISCATE,ADOPTION,HEALTHY,1,0,2,0,3,3
CAT,DOMESTIC MH,GRAY,Neutered,KITTN,57,STRAY,ADOPTION,TREATABLE/REHAB,0,3,1,2,0,2
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,45,STRAY,ADOPTION,HEALTHY,0,0,2,0,0,3
CAT,DOMESTIC MH,GRAY TABBY,Neutered,KITTN,31,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,1,0,0,2
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,20,OWNER SURRENDER,ADOPTION,HEALTHY,0,5,2,0,0,2
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,51,STRAY,ADOPTION,HEALTHY,0,5,2,0,0,2
CAT,DOMESTIC MH,ORG TABBY,Neutered,KITTN,31,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,1,0,0,2
CAT,DOMESTIC SH,BLACK,Neutered,SMALL,51,STRAY,ADOPTION,UNKNOWN,0,0,2,3,3,2
CAT,DOMESTIC SH,GRAY/WHITE,Neutered,KITTN,21,OWNER SURRENDER,ADOPTION,HEALTHY,0,5,2,0,0,2
CAT,DOMESTIC SH,BUFF,Neutered,KITTN,85,STRAY,ADOPTION,HEALTHY,0,5,2,0,0,2
CAT,DOMESTIC SH,BUFF,Spayed,KITTN,85,STRAY,ADOPTION,HEALTHY,0,5,2,0,0,3
CAT,DOMESTIC SH,BLACK,Spayed,SMALL,111,STRAY,ADOPTION,HEALTHY,2,0,2,0,3,3
CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,76,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC MH,BRN TABBY,Neutered,KITTN,31,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,1,0,0,2
CAT,DOMESTIC LH,BUFF,Neutered,KITTN,16,STRAY,ADOPTION,HEALTHY,0,5,0,0,0,2
CAT,DOMESTIC SH,GRAY,Neutered,KITTN,51,STRAY,ADOPTION,UNKNOWN,0,3,2,3,0,2
CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,57,STRAY,ADOPTION,HEALTHY,5,6,2,0,0,3
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,35,STRAY,ADOPTION,HEALTHY,1,6,2,0,0,3
CAT,DOMESTIC MH,GRAY,Spayed,KITTN,62,STRAY,ADOPTION,HEALTHY,0,3,1,0,0,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,56,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,91,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,3
CAT,SIAMESE/MIX,LYNX PT,Spayed,KITTN,20,OWNER SURRENDER,ADOPTION,HEALTHY,0,5,3,0,0,3
CAT,DOMESTIC SH,GRAY TABBY,Neutered,SMALL,21,STRAY,ADOPTION,HEALTHY,0,6,2,0,3,2
CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,29,STRAY,ADOPTION,HEALTHY,0,5,2,0,3,2
CAT,DOMESTIC MH,BRN TABBY,Neutered,KITTN,3,STRAY,ADOPTION,HEALTHY,4,6,1,0,0,2
CAT,DOMESTIC SH,BLK TABBY,Neutered,KITTN,39,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,2
CAT,DOMESTIC MH,CALICO,Spayed,KITTN,25,OWNER SURRENDER,ADOPTION,HEALTHY,0,2,1,0,0,3
CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,27,STRAY,ADOPTION,HEALTHY,2,5,2,0,3,3
CAT,DOMESTIC SH,BUFF,Spayed,KITTN,90,STRAY,ADOPTION,HEALTHY,0,5,2,0,0,3
CAT,DOMESTIC SH,BUFF,Neutered,KITTN,90,STRAY,ADOPTION,HEALTHY,0,5,2,0,0,2
CAT,DOMESTIC MH,TORTIE,Spayed,SMALL,23,OWNER SURRENDER,ADOPTION,HEALTHY,0,5,1,0,3,3
CAT,DOMESTIC MH,WHITE/BLACK,Neutered,KITTN,34,STRAY,ADOPTION,HEALTHY,0,5,1,0,0,2
CAT,DOMESTIC SH,BRN TABBY,Neutered,MED,28,STRAY,ADOPTION,TREATABLE/REHAB,11,6,2,2,2,2
CAT,DOMESTIC MH,BLACK,Neutered,KITTN,37,OWNER SURRENDER,ADOPTION,HEALTHY,0,0,1,0,0,2
CAT,DOMESTIC MH,BLUE CREAM,Spayed,SMALL,66,STRAY,ADOPTION,HEALTHY,2,5,1,0,3,3
CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,15,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,35,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,64,CONFISCATE,ADOPTION,HEALTHY,0,6,2,0,3,2
CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,67,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,2
CAT,DOMESTIC MH,TORTIE,Spayed,KITTN,38,OWNER SURRENDER,ADOPTION,HEALTHY,0,5,1,0,0,3
CAT,DOMESTIC MH,CALICO/BRN TABBY,Spayed,KITTN,38,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,1,0,0,3
CAT,DOMESTIC MH,BLACK/WHITE,Neutered,SMALL,30,STRAY,ADOPTION,HEALTHY,0,5,1,0,3,2
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,26,STRAY,ADOPTION,HEALTHY,0,0,2,0,0,3
CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,46,STRAY,ADOPTION,UNKNOWN,0,5,2,3,0,3
CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,KITTN,46,STRAY,ADOPTION,UNKNOWN,0,6,1,3,0,2
CAT,SIAMESE,SEAL PT,Neutered,SMALL,27,STRAY,ADOPTION,HEALTHY,1,5,3,0,3,2
CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,47,STRAY,ADOPTION,UNKNOWN,2,5,2,3,3,3
CAT,DOMESTIC SH,GRAY TABBY/WHITE,Neutered,KITTN,40,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC MH,BLACK,Spayed,KITTN,80,STRAY,ADOPTION,UNKNOWN,0,0,1,3,0,3
CAT,DOMESTIC SH,BLACK,Spayed,SMALL,57,STRAY,ADOPTION,HEALTHY,1,0,2,0,3,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,30,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,30,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC MH,GRAY TABBY,Neutered,KITTN,86,STRAY,ADOPTION,UNKNOWN,0,6,1,3,0,2
CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,32,STRAY,ADOPTION,HEALTHY,0,6,1,0,3,2
CAT,DOMESTIC MH,CALICO/BRN TABBY,Spayed,KITTN,43,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,1,0,0,3
CAT,ABYSSINIAN/MIX,BRN TABBY,Spayed,SMALL,52,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,3,0,3,3
CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,50,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,2
CAT,DOMESTIC MH,CALICO/BRN TABBY,Spayed,KITTN,45,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,1,0,0,3
CAT,DOMESTIC SH,GRAY,Spayed,KITTN,59,STRAY,ADOPTION,HEALTHY,0,3,2,0,0,3
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,59,STRAY,ADOPTION,HEALTHY,0,0,2,0,0,2
CAT,DOMESTIC SH,CALICO,Spayed,SMALL,31,STRAY,ADOPTION,HEALTHY,0,2,2,0,3,3
CAT,DOMESTIC MH,TORTIE,Spayed,KITTN,48,OWNER SURRENDER,ADOPTION,HEALTHY,0,5,1,0,0,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,28,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,53,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,2
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,53,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,2
CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,77,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,3
CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,24,STRAY,ADOPTION,HEALTHY,0,6,2,0,3,2
CAT,DOMESTIC MH,BLUE CREAM,Spayed,SMALL,10,ADOPTION RETURN,ADOPTION,HEALTHY,2,5,1,0,3,3
CAT,DOMESTIC SH,GRAY/WHITE,Spayed,SMALL,43,STRAY,ADOPTION,UNKNOWN,0,5,2,3,3,3
CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,52,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,3,3
