intake_type,intake_condition,sex_intake,age_intake,breed,color,sex_outcome,age_outcome,stay_length
3,7,0,48,2,2,3,72,168
3,7,0,60,1,0,3,60,5
3,3,0,48,0,6,3,12,30
3,11,1,12,1,2,1,24,15
1,7,2,132,2,1,2,12,3
3,7,1,48,2,4,2,24,34
1,7,1,24,2,5,2,24,3
3,7,1,12,2,4,2,48,103
3,7,0,12,0,2,0,24,9
3,7,1,12,1,0,2,12,6
3,7,0,24,2,6,3,24,3
3,7,0,12,2,2,3,12,7
1,7,0,24,2,7,3,24,6
3,7,1,36,2,4,2,24,41
1,7,1,24,2,2,2,36,6
3,7,0,12,2,6,3,12,36
3,7,1,24,2,0,2,24,7
1,7,3,24,2,3,3,36,16
3,7,0,36,2,2,3,36,69
1,7,3,24,2,3,3,24,215
3,7,0,12,1,2,3,24,48
3,3,1,60,2,0,2,60,23
3,7,3,60,2,7,3,72,19
1,7,3,132,2,3,3,156,891
1,7,0,84,2,6,3,84,3
3,7,1,60,2,0,2,24,31
3,7,1,12,2,0,2,36,38
2,7,1,12,2,0,2,24,46
3,7,1,12,1,2,2,24,6
3,7,0,48,0,1,3,24,45
3,7,0,72,2,7,3,72,5
3,7,0,12,2,4,3,24,28
3,7,1,12,2,1,2,24,71
3,7,0,36,1,0,3,12,29
1,7,3,48,1,2,3,48,38
3,7,3,72,2,1,3,72,42
3,7,1,24,2,2,2,36,5
3,8,1,24,0,0,2,36,91
3,7,0,12,2,0,3,24,14
3,7,1,12,2,0,2,24,46
3,7,0,24,2,6,3,24,16
3,7,1,24,3,5,2,24,62
3,7,0,12,3,2,3,36,91
3,7,0,24,2,1,3,36,23
3,7,0,12,2,0,3,36,54
3,7,1,12,2,0,2,24,5
1,7,1,12,2,0,2,24,22
3,7,1,12,2,4,1,12,8
1,7,2,24,2,0,2,36,118
3,7,0,48,2,1,3,24,42
3,7,0,24,2,1,3,24,6
1,11,0,12,2,5,3,12,14
3,7,1,48,2,4,2,36,61
3,7,1,48,2,2,1,24,32
1,7,2,84,2,0,2,84,3
3,7,0,48,2,0,3,24,55
3,7,0,12,2,2,0,24,8
3,8,0,0,2,0,3,24,87
3,8,1,36,2,2,2,36,76
3,3,0,12,1,7,3,48,77
3,7,0,24,2,8,0,36,91
1,7,2,36,2,0,2,36,77
1,7,2,12,2,1,2,12,6
3,7,1,24,2,5,2,84,143
3,7,0,48,2,1,3,24,36
1,7,0,0,2,2,3,12,62
1,7,2,60,3,4,2,60,37
3,7,1,12,2,4,2,24,61
3,7,0,12,2,0,3,36,52
3,7,0,12,2,2,0,24,3
1,7,0,96,2,7,3,108,35
3,7,1,12,2,0,2,36,66
3,7,1,24,2,2,2,24,5
3,7,1,12,2,8,2,12,5
3,7,0,24,3,5,3,24,4
3,7,1,12,2,0,2,36,91
3,7,0,24,2,3,3,24,4
1,7,0,60,2,2,3,60,130
3,7,0,48,2,7,3,24,38
3,7,3,36,2,0,3,36,7
3,7,0,12,2,4,3,48,94
3,7,1,48,2,0,2,36,68
1,7,3,12,2,1,3,12,39
2,7,0,12,2,2,3,12,247
1,7,1,108,2,1,2,120,14
3,7,2,36,2,0,2,36,20
3,7,0,12,2,1,3,24,20
3,7,0,12,2,0,3,12,24
3,7,1,12,2,2,2,48,75
1,7,1,12,2,4,1,24,2
3,7,1,48,2,0,2,12,26
3,7,0,12,2,3,3,48,89
3,7,1,12,2,8,2,36,64
3,7,1,12,2,1,2,24,14
1,7,3,48,0,2,3,48,16
3,7,0,60,2,4,3,72,40
3,7,1,12,2,2,2,24,45
3,7,1,24,2,1,2,24,4
3,7,0,12,1,0,3,24,7
1,7,1,12,2,1,2,24,4
3,7,0,48,2,1,3,24,50
3,7,2,60,2,0,2,60,53
1,7,3,96,0,3,3,96,10
3,7,0,12,2,7,3,36,42
3,7,1,12,2,2,2,24,10
3,7,1,48,2,0,2,24,34
3,7,0,36,2,3,3,12,34
3,7,3,84,2,2,3,12,164
1,7,0,12,1,2,3,12,14
3,7,0,24,0,2,3,24,4
3,7,0,24,2,4,3,24,14
3,7,0,48,0,0,3,24,36
3,7,2,132,3,5,2,132,6
1,7,0,36,2,6,3,36,5
1,7,0,12,2,0,3,12,52
3,7,0,12,2,3,3,24,41
3,7,0,12,2,0,3,12,14
1,7,3,96,2,2,3,96,9
3,7,0,12,2,2,3,36,41
3,7,1,12,2,1,2,36,82
3,7,1,36,2,0,2,36,75
3,7,0,24,2,1,3,24,8
3,7,1,24,2,2,1,24,53
3,7,0,48,2,5,3,60,30
3,7,1,48,2,0,2,24,55
3,7,0,36,1,2,3,24,40
3,7,0,12,2,0,3,12,103
3,7,2,12,0,5,2,12,4
1,7,3,48,2,3,3,48,18
3,7,0,12,2,2,3,24,11
1,7,0,12,3,5,3,24,30
3,7,0,12,2,8,3,36,34
1,7,0,48,2,2,3,48,14
1,7,3,24,2,6,3,24,34
3,7,1,12,2,2,2,24,6
3,7,1,12,2,2,2,24,44
3,3,1,12,2,0,2,12,42
1,7,0,48,2,8,3,24,47
3,7,2,120,3,5,2,120,80
3,7,1,12,2,0,2,24,27
3,7,3,36,2,5,3,36,6
3,7,1,24,2,2,2,24,63
1,7,0,24,2,5,3,36,21
3,7,0,12,2,2,3,24,23
3,7,0,12,2,0,3,36,55
2,7,1,24,2,2,2,24,16
3,7,0,60,1,0,3,24,37
3,7,0,12,2,6,3,12,8
3,7,1,12,1,0,2,24,5
3,7,1,12,2,4,2,36,59
3,7,1,12,2,2,2,24,26
3,7,0,60,2,0,3,60,4
3,7,0,48,1,7,3,24,652
3,7,3,12,2,0,3,12,3
3,7,1,12,2,4,2,24,22
3,7,1,72,2,1,2,24,57
1,7,3,36,2,2,3,36,37
3,2,1,12,2,2,2,72,152
3,7,1,36,2,0,1,12,37
3,7,1,48,2,0,2,36,70
3,7,0,36,2,0,3,24,56
1,7,2,144,0,1,2,144,23
3,7,1,12,2,4,2,24,3
