intake_type,intake_condition,sex_intake,breed,CoatColor,CoatPattern,age_intake_months,stay_length,intake_type_encoded,intake_condition_encoded,sex_intake_encoded,breed_encoded,CoatColor_encoded,CoatPattern_encoded
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,36,48,2,3,1,1,5,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,36,42,2,3,1,1,0,1
Stray,Normal,Male,Other,Black_N_White,Solid,24,17,2,3,1,2,1,1
Stray,Normal,Female,Other,Blue,Solid,36,34,2,3,0,2,2,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,42,1,3,0,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,5,3,2,3,0,1,7,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,49,2,3,1,1,3,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,48,1,3,0,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,4,7,2,3,0,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Solid,1,55,2,3,1,1,2,1
Stray,Normal,Male,Other,Other,Other,2,5,2,3,1,2,6,0
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Blue,Solid,1,22,1,3,1,1,2,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,5,5,1,3,1,1,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,52,2,3,0,1,1,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,12,81,1,3,0,1,1,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,23,1,3,1,1,2,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,4,2,3,1,1,5,2
Stray,Normal,Male,Other,Other,Other,1,36,2,3,1,2,6,0
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,23,2,3,0,1,3,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,5,1,3,1,1,0,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,12,32,2,3,0,1,1,1
Owner_Surrender,Sick,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,38,1,7,1,1,2,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,29,2,3,0,1,1,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,65,2,3,0,1,0,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,1,42,2,3,0,1,4,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,14,2,3,0,1,3,2
Stray,Normal,Male,Other,Black,Solid,12,4,2,3,1,2,0,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,4,11,1,3,1,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,84,70,2,3,0,1,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,37,2,3,0,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Other,1,134,2,3,0,1,0,0
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,3,9,1,3,1,1,5,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,33,1,3,1,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,1,59,2,3,0,1,5,2
Stray,Normal,Female,Other,Other,Other,1,36,2,3,0,2,6,0
Stray,Normal,Female,Other,Black_N_White,Solid,3,58,2,3,0,2,1,1
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Tabby,2,9,2,3,1,1,9,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,13,2,3,1,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,75,2,3,1,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,2,5,1,3,0,1,7,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,28,1,3,1,1,5,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,48,7,1,3,1,1,1,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,3,21,2,3,0,1,8,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,168,76,1,3,1,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,35,2,3,0,1,1,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,4,2,3,0,1,7,1
Stray,Normal,Male,Other,Brown,Tabby,1,52,2,3,1,2,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,2,6,2,3,0,1,2,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,40,2,3,1,1,0,1
Owner_Surrender,Normal,Male,Other,Brown,Tabby,1,29,1,3,1,2,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,42,2,3,0,1,1,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,60,20,1,3,0,1,7,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,96,4,2,3,1,1,5,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,6,2,3,1,1,1,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,15,2,3,0,1,3,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,96,16,1,3,1,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,6,2,3,1,1,0,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,148,2,3,1,1,1,1
Owner_Surrender,Normal,Male,Other,White_Mix,Solid,12,50,1,3,1,2,9,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Other,Other,0,61,2,3,0,1,6,0
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,30,2,3,0,1,3,2
Other,Sick,Female,Domestic_Shorthair_Mix,Black,Solid,5,28,0,7,0,1,0,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,48,2,3,1,1,0,1
Stray,Normal,Female,Other,Other,Other,1,84,2,3,0,2,6,0
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,2,2,1,3,0,1,0,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,2,138,2,3,0,1,4,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,24,30,1,3,0,1,8,1
Stray,Normal,Male,Other,Orange,Tabby,1,5,2,3,1,2,5,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,84,6,1,3,0,1,1,1
Stray,Normal,Female,Other,Calico_or_Calico_mix,Solid,84,6,2,3,0,2,4,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,3,0,1,3,1,1,1,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,39,2,3,0,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,72,2,3,1,1,0,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Other,1,3,2,3,1,1,6,0
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,52,1,3,1,1,3,2
Stray,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,1,17,2,3,0,2,8,1
Other,Normal,Female,Domestic_Shorthair_Mix,Other,Solid,120,31,0,3,0,1,6,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,34,2,3,1,1,2,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,12,59,1,3,1,1,0,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,116,2,3,1,1,5,2
Stray,Sick,Male,Domestic_Shorthair_Mix,Other,Tabby,1,35,2,7,1,1,6,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,12,4,2,3,0,1,7,1
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Solid,9,45,1,3,0,2,4,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,1,22,2,3,0,1,4,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,10,2,3,1,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,3,9,1,3,0,1,0,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,1,18,2,3,0,1,2,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,2,5,2,3,0,1,3,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,4,26,1,3,1,1,0,1
Stray,Injured,Male,Domestic_Shorthair_Mix,Brown,Tabby,7,28,2,1,1,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,49,2,3,0,1,3,2
Stray,Normal,Female,Other,Black,Solid,12,6,2,3,0,2,0,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,32,2,3,1,1,1,1
Other,Normal,Male,Other,Black,Solid,9,23,0,3,1,2,0,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,13,2,3,0,1,7,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,1,33,2,3,0,1,4,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,11,1,3,1,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,36,5,2,3,0,1,3,2
Stray,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,1,43,2,3,0,2,8,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,64,2,3,0,1,8,1
Owner_Surrender,Normal,Female,Other,Blue,Tabby,2,10,1,3,0,2,2,2
Owner_Surrender,Normal,Female,Other,Black,Solid,12,39,1,3,0,2,0,1
Owner_Surrender,Normal,Male,Other,Orange,Tabby,72,19,1,3,1,2,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,72,2,3,0,1,7,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,24,79,1,3,1,1,3,2
Owner_Surrender,Normal,Female,Other,Blue,Solid,5,0,1,3,0,2,2,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Other,1,28,2,3,1,1,0,0
Owner_Surrender,Normal,Male,Other,Brown,Tabby,1,2,1,3,1,2,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,1,41,2,3,0,1,2,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,12,16,1,3,0,1,7,1
Owner_Surrender,Normal,Male,Other,Other,Other,36,13,1,3,1,2,6,0
Owner_Surrender,Normal,Female,Other,Brown,Tabby,24,53,1,3,0,2,3,2
Stray,Sick,Female,Domestic_Shorthair,Orange,Tabby,2,25,2,7,0,0,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,4,4,2,3,0,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,0,75,2,3,0,1,3,2
Owner_Surrender,Normal,Male,Domestic_Shorthair,Orange,Tabby,24,22,1,3,1,0,5,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Other,1,51,2,3,1,1,0,0
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Other,1,24,2,3,1,1,0,0
Stray,Injured,Male,Domestic_Shorthair_Mix,Other,Other,12,44,2,1,1,1,6,0
Stray,Nursing,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,0,72,2,4,0,1,7,1
Stray,Normal,Female,Other,Black,Other,1,47,2,3,0,2,0,0
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,37,2,3,0,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Solid,1,45,2,3,1,1,2,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,50,2,3,0,1,0,1
Stray,Injured,Female,Domestic_Shorthair_Mix,Blue,Solid,1,7,2,1,0,1,2,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,3,24,1,3,0,1,8,1
