intake_type,intake_condition,sex_intake,breed,CoatColor,CoatPattern,age_intake_months,stay_length
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,2,5
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,28
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,48,7
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,3,21
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,168,76
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,35
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,4
Stray,Normal,Male,Other,Brown,Tabby,1,52
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,2,6
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,40
Owner_Surrender,Normal,Male,Other,Brown,Tabby,1,29
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,42
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,60,20
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,96,4
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,6
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,15
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,96,16
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,6
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,148
Owner_Surrender,Normal,Male,Other,White_Mix,Solid,12,50
Stray,Normal,Female,Domestic_Shorthair_Mix,Other,Other,0,61
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,30
Other,Sick,Female,Domestic_Shorthair_Mix,Black,Solid,5,28
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,48
Stray,Normal,Female,Other,Other,Other,1,84
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,2,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,2,138
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,24,30
Stray,Normal,Male,Other,Orange,Tabby,1,5
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,84,6
Stray,Normal,Female,Other,Calico_or_Calico_mix,Solid,84,6
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,3,0
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,39
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,72
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Other,1,3
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,52
Stray,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,1,17
Other,Normal,Female,Domestic_Shorthair_Mix,Other,Solid,120,31
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,34
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,12,59
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,116
Stray,Sick,Male,Domestic_Shorthair_Mix,Other,Tabby,1,35
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,12,4
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Solid,9,45
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,1,22
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,10
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,3,9
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,1,18
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,2,5
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,4,26
Stray,Injured,Male,Domestic_Shorthair_Mix,Brown,Tabby,7,28
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,49
Stray,Normal,Female,Other,Black,Solid,12,6
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,32
Other,Normal,Male,Other,Black,Solid,9,23
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,13
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,1,33
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,11
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,36,5
Stray,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,1,43
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,64
Owner_Surrender,Normal,Female,Other,Blue,Tabby,2,10
Owner_Surrender,Normal,Female,Other,Black,Solid,12,39
Owner_Surrender,Normal,Male,Other,Orange,Tabby,72,19
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,72
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,24,79
Owner_Surrender,Normal,Female,Other,Blue,Solid,5,0
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Other,1,28
Owner_Surrender,Normal,Male,Other,Brown,Tabby,1,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,1,41
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,12,16
Owner_Surrender,Normal,Male,Other,Other,Other,36,13
Owner_Surrender,Normal,Female,Other,Brown,Tabby,24,53
Stray,Sick,Female,Domestic_Shorthair,Orange,Tabby,2,25
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,4,4
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,0,75
Owner_Surrender,Normal,Male,Domestic_Shorthair,Orange,Tabby,24,22
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Other,1,51
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Other,1,24
Stray,Injured,Male,Domestic_Shorthair_Mix,Other,Other,12,44
Stray,Nursing,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,0,72
Stray,Normal,Female,Other,Black,Other,1,47
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,37
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Solid,1,45
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,50
Stray,Injured,Female,Domestic_Shorthair_Mix,Blue,Solid,1,7
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,3,24
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,20
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,0,96
Stray,Sick,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,61
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,9
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,2,17
Stray,Normal,Male,Domestic_Shorthair,Other,Other,1,4
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,156,27
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,62
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,180,32
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,11
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,1,5
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,4,19
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,12,8
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,75
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,12,11
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,108,44
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,57
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,56
Stray,Normal,Male,Other,Blue,Solid,1,21
Stray,Normal,Male,Domestic_Shorthair,Orange,Tabby,2,21
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,96
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,21
Stray,Normal,Female,Domestic_Shorthair_Mix,Other,Tabby,1,30
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,5,30
Stray,Normal,Female,Other,White_Mix,Solid,1,8
Stray,Normal,Male,Other,Orange,Tabby,1,55
Stray,Normal,Female,Domestic_Shorthair_Mix,Other,Other,1,70
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,68
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,0,82
Stray,Normal,Female,Other,Black,Solid,1,49
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,2,9
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,95
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,12,15
Owner_Surrender,Nursing,Female,Domestic_Shorthair_Mix,Black,Solid,0,89
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,0,58
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,1,4
