simplified_color,simplified_sex,age,simplified_condition,simplified_type,days_stayed,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded
BLACK,MALE,1,UNDER WEIGHT,STRAY,68,0,1,5,2
TABBY,MALE,1,NORMAL,OTHER,14,3,1,3,0
BLACK,MALE,1,UNDER WEIGHT,STRAY,28,0,1,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,22,3,1,5,2
BLACK,FEMALE,2,OTHER,STRAY,15,0,0,4,2
TABBY,FEMALE,2,OTHER,STRAY,44,3,0,4,2
WHITE,FEMALE,2,NORMAL,STRAY,44,4,0,3,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,32,2,0,5,2
GRAY,FEMALE,1,UNDER WEIGHT,STRAY,27,1,0,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,34,3,1,5,2
WHITE,MALE,7,NORMAL,OWNER SURRENDER,41,4,1,3,1
BLACK,MALE,1,UNDER WEIGHT,STRAY,13,0,1,5,2
GRAY,FEMALE,1,OTHER,STRAY,125,1,0,4,2
GRAY,MALE,1,ILL MILD,STRAY,220,1,1,0,2
TABBY,FEMALE,3,INJURED,STRAY,127,3,0,2,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,17,0,1,5,2
TABBY,MALE,3,OTHER,OWNER SURRENDER,110,3,1,4,1
GRAY,MALE,1,ILL MILD,STRAY,24,1,1,0,2
BLACK,MALE,1,NORMAL,STRAY,4,0,1,3,2
TABBY,FEMALE,1,ILL MILD,STRAY,15,3,0,0,2
OTHER,FEMALE,1,ILL SEVERE,STRAY,37,2,0,1,2
OTHER,FEMALE,3,NORMAL,OWNER SURRENDER,98,2,0,3,1
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,21,2,0,5,2
GRAY,FEMALE,1,NORMAL,OTHER,2,1,0,3,0
BLACK,MALE,1,NORMAL,STRAY,94,0,1,3,2
BLACK,FEMALE,1,NORMAL,STRAY,113,0,0,3,2
GRAY,FEMALE,1,NORMAL,STRAY,3,1,0,3,2
TABBY,FEMALE,1,NORMAL,STRAY,2,3,0,3,2
