intake_age,days_stayed,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_male,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_owner_surrender,simplified_type_stray
0,31,1,0,0,0,1,0,0,0,1,0,1
0,75,0,0,1,0,0,0,0,1,0,0,1
0,7,1,0,0,0,0,0,1,0,0,0,1
0,22,0,0,0,0,1,0,1,0,0,0,1
0,25,0,0,0,0,0,0,1,0,0,0,1
0,7,0,0,0,0,0,0,1,0,0,0,1
0,34,0,1,0,0,0,0,0,0,1,0,1
0,18,0,0,0,0,1,1,0,0,0,0,1
9,102,0,0,0,0,0,0,1,0,0,1,0
9,56,0,0,0,0,1,0,1,0,0,1,0
9,56,0,0,1,0,1,0,1,0,0,1,0
6,45,0,0,1,0,1,0,0,0,0,0,1
6,7,1,0,0,0,1,0,1,0,0,1,0
8,131,0,0,0,0,0,0,1,0,0,1,0
3,137,1,0,0,0,0,0,1,0,0,1,0
9,80,0,1,0,0,0,0,1,0,0,1,0
1,9,0,1,0,0,1,0,1,0,0,0,1
3,23,0,0,1,0,0,0,1,0,0,0,1
0,7,0,1,0,0,0,0,1,0,0,0,1
0,10,0,0,1,0,0,0,1,0,0,0,1
2,50,0,0,0,1,0,0,1,0,0,1,0
0,16,0,0,1,0,0,0,1,0,0,0,1
3,37,0,0,1,0,0,0,1,0,0,0,1
0,73,0,0,0,0,1,0,1,0,0,0,1
6,122,0,0,1,0,0,0,1,0,0,0,1
0,13,0,0,1,0,1,0,0,1,0,0,1
6,7,0,1,0,0,1,0,1,0,0,0,1
6,16,0,1,0,0,1,0,1,0,0,1,0
6,36,0,0,1,0,1,0,1,0,0,0,1
0,16,1,0,0,0,0,0,1,0,0,0,1
0,6,0,1,0,0,0,0,1,0,0,1,0
0,23,0,0,1,0,1,0,1,0,0,0,1
2,138,0,1,0,0,0,0,1,0,0,0,1
0,17,1,0,0,0,1,0,1,0,0,0,1
0,42,0,0,1,0,0,0,0,1,0,0,1
7,21,0,0,0,0,1,0,1,0,0,0,1
9,24,1,0,0,0,1,0,1,0,0,1,0
0,20,0,0,0,0,0,0,1,0,0,0,1
0,25,0,1,0,0,0,0,1,0,0,0,1
0,24,0,0,1,0,0,0,1,0,0,0,1
3,15,1,0,0,0,0,0,1,0,0,0,1
3,13,0,0,1,0,0,0,1,0,0,0,1
2,86,0,0,0,0,1,0,1,0,0,0,1
2,56,0,0,0,0,0,0,1,0,0,1,0
0,41,1,0,0,0,0,0,1,0,0,0,1
0,32,0,0,1,0,1,0,1,0,0,0,1
0,7,0,0,1,0,0,0,1,0,0,0,1
1,12,0,0,0,0,0,0,1,0,0,1,0
0,116,0,0,1,0,1,1,0,0,0,0,1
0,34,0,0,1,0,1,0,1,0,0,1,0
4,128,0,1,0,0,0,0,1,0,0,0,0
0,21,0,0,1,0,1,0,0,1,0,0,1
0,68,0,0,1,0,0,0,0,0,1,0,1
0,19,0,0,0,1,1,0,0,0,1,0,1
0,7,0,0,1,0,1,0,1,0,0,0,1
0,85,1,0,0,0,1,0,0,0,1,0,1
0,22,0,0,1,0,1,0,1,0,0,0,1
3,103,0,0,1,0,1,1,0,0,0,0,1
1,126,1,0,0,0,0,0,1,0,0,1,0
3,37,0,0,0,0,1,0,1,0,0,0,1
0,31,0,0,1,0,1,0,1,0,0,0,1
0,35,0,0,1,0,1,0,0,0,1,0,1
4,30,0,0,1,0,0,0,1,0,0,0,1
0,16,1,0,0,0,1,0,1,0,0,0,1
0,34,0,0,0,1,1,0,1,0,0,0,1
4,18,1,0,0,0,1,0,1,0,0,0,1
0,15,0,0,0,0,1,0,1,0,0,0,1
2,16,0,1,0,0,0,0,1,0,0,1,0
3,125,0,0,1,0,1,0,1,0,0,1,0
3,8,0,1,0,0,0,0,1,0,0,0,1
0,21,0,1,0,0,0,0,1,0,0,0,1
1,38,0,1,0,0,1,0,1,0,0,0,1
0,123,0,0,0,0,0,0,0,0,1,0,1
0,31,0,0,0,0,1,0,0,0,1,0,1
1,27,0,0,0,1,0,0,1,0,0,0,1
0,59,0,0,1,0,1,0,1,0,0,0,1
0,102,0,0,1,0,0,0,1,0,0,0,1
0,45,0,0,0,0,1,0,1,0,0,0,1
9,62,1,0,0,0,0,0,1,0,0,1,0
0,30,0,0,1,0,0,0,1,0,0,0,0
0,30,0,1,0,0,0,0,1,0,0,0,0
0,14,0,1,0,0,1,0,1,0,0,0,1
7,1,0,0,0,1,1,0,1,0,0,1,0
7,1,0,0,0,1,0,0,1,0,0,1,0
0,20,0,0,1,0,1,0,0,0,1,0,1
0,12,0,1,0,0,0,0,1,0,0,0,1
4,61,0,0,1,0,1,0,1,0,0,0,1
0,67,0,0,0,0,1,0,0,0,1,0,1
0,91,0,0,1,0,0,0,1,0,0,0,1
0,72,0,0,1,0,1,0,0,0,1,0,1
3,14,0,1,0,0,0,0,1,0,0,1,0
0,81,0,0,0,0,1,0,1,0,0,0,1
0,4,0,0,0,1,1,0,1,0,0,0,1
0,91,0,0,0,0,1,0,1,0,0,1,0
0,76,0,0,0,0,0,0,0,0,1,0,1
0,39,0,0,0,0,1,0,1,0,0,0,1
0,53,1,0,0,0,0,1,0,0,0,0,1
3,71,0,1,0,0,0,0,1,0,0,0,1
1,75,0,1,0,0,0,0,1,0,0,0,1
0,27,0,0,1,0,0,0,1,0,0,0,1
8,71,0,0,0,0,0,0,1,0,0,1,0
4,65,0,0,1,0,1,0,1,0,0,1,0
0,40,0,1,0,0,0,0,1,0,0,0,1
0,40,0,1,0,0,0,0,1,0,0,0,1
1,60,0,1,0,0,0,0,1,0,0,1,0
0,76,0,0,1,0,0,0,1,0,0,0,1
0,54,0,1,0,0,0,0,1,0,0,0,1
0,42,0,0,1,0,1,0,0,1,0,0,1
0,6,0,0,1,0,0,0,1,0,0,0,1
0,41,1,0,0,0,0,0,1,0,0,0,1
0,30,0,0,1,0,1,0,0,1,0,0,1
2,23,0,0,0,0,0,0,1,0,0,0,0
4,38,0,1,0,0,0,0,1,0,0,0,1
0,77,0,1,0,0,0,0,1,0,0,0,1
8,16,0,0,1,0,0,0,1,0,0,1,0
0,10,0,0,0,1,1,0,1,0,0,0,1
1,9,0,1,0,0,0,0,1,0,0,0,1
1,38,0,0,1,0,0,1,0,0,0,0,1
6,29,0,1,0,0,1,0,1,0,0,1,0
0,21,0,0,1,0,0,0,1,0,0,0,1
0,11,0,1,0,0,0,0,1,0,0,1,0
2,6,0,1,0,0,0,0,1,0,0,0,1
0,29,0,1,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,1
0,21,0,1,0,0,0,0,0,0,0,0,1
1,108,0,0,0,0,1,0,1,0,0,0,1
2,70,0,0,1,0,0,0,1,0,0,0,1
0,63,0,0,0,0,1,0,0,0,1,0,1
0,32,0,0,0,0,0,0,0,1,0,0,1
0,7,0,0,0,0,1,0,1,0,0,0,1
0,54,0,1,0,0,0,0,0,1,0,0,1
0,98,0,1,0,0,0,0,0,1,0,0,1
0,105,0,0,0,0,1,0,0,1,0,0,1
0,29,0,1,0,0,0,0,0,0,1,0,1
0,15,0,1,0,0,1,0,0,0,1,0,1
0,20,0,0,1,0,0,0,0,0,1,0,1
0,8,0,0,0,0,1,0,0,0,1,0,1
0,8,0,0,1,0,0,0,0,0,1,0,1
0,3,0,0,0,1,1,0,1,0,0,0,1
0,3,0,0,1,0,1,0,1,0,0,0,1
0,21,0,1,0,0,0,0,0,0,1,0,1
0,6,0,0,1,0,0,0,0,0,1,0,1
0,9,0,0,1,0,0,0,0,0,1,0,1
0,3,0,0,0,0,1,0,1,0,0,0,1
0,18,0,0,1,0,0,0,1,0,0,0,1
0,70,1,0,0,0,1,0,1,0,0,0,1
0,70,1,0,0,0,0,0,1,0,0,0,1
0,112,0,0,0,0,1,0,1,0,0,0,1
4,12,0,0,0,0,0,0,1,0,0,0,1
0,69,0,0,1,0,1,0,1,0,0,0,1
0,42,0,0,1,0,1,0,1,0,0,0,1
0,62,0,0,0,0,0,0,0,0,1,0,1
0,30,0,0,1,0,1,0,0,0,1,0,1
0,21,0,0,1,0,1,0,1,0,0,0,1
0,13,0,1,0,0,0,0,1,0,0,0,1
0,49,0,0,1,0,0,0,1,0,0,0,1
0,46,0,0,0,0,1,1,0,0,0,0,1
0,120,0,0,1,0,0,0,1,0,0,0,1
0,24,1,0,0,0,0,0,1,0,0,0,1
1,17,1,0,0,0,1,0,1,0,0,1,0
0,41,1,0,0,0,1,0,0,0,0,0,1
0,14,0,0,0,0,0,0,1,0,0,1,0
0,12,0,0,1,0,1,0,1,0,0,0,1
0,36,0,0,0,1,1,0,0,0,1,0,1
1,116,0,0,0,0,1,0,1,0,0,1,0
0,16,0,0,1,0,0,0,1,0,0,0,1
0,15,0,0,1,0,0,0,1,0,0,0,1
0,72,0,0,1,0,1,0,1,0,0,0,1
0,21,0,0,1,0,0,0,0,1,0,0,1
0,4,0,0,1,0,0,0,1,0,0,0,1
0,90,0,1,0,0,1,0,0,0,1,0,1
1,70,0,0,1,0,1,0,1,0,0,0,1
2,107,0,0,1,0,0,0,1,0,0,0,1
0,84,0,0,1,0,0,0,1,0,0,0,1
0,41,0,0,1,0,0,0,0,0,0,0,1
0,65,0,0,0,0,1,0,0,0,1,0,1
0,4,0,0,0,0,1,0,0,0,1,0,1
0,72,0,0,1,0,1,0,1,0,0,1,0
0,83,0,0,0,0,1,0,0,0,1,0,1
0,65,0,1,0,0,0,0,1,0,0,0,1
0,13,0,1,0,0,1,0,0,0,1,0,1
0,96,0,0,1,0,1,0,1,0,0,0,1
0,35,0,0,1,0,0,0,1,0,0,0,1
0,14,0,1,0,0,1,0,1,0,0,0,1
0,21,0,0,0,0,1,0,1,0,0,0,1
5,29,0,0,0,0,0,0,1,0,0,1,0
0,21,1,0,0,0,1,1,0,0,0,0,1
0,17,0,0,1,0,0,0,1,0,0,1,0
2,3,0,0,0,0,1,0,1,0,0,0,0
1,56,0,0,0,0,1,0,0,0,0,0,1
4,36,0,0,1,0,1,0,1,0,0,1,0
0,12,0,0,0,0,0,0,1,0,0,0,1
0,2,0,0,0,0,0,0,1,0,0,1,0
2,64,0,0,1,0,0,0,1,0,0,1,0
0,111,0,0,0,0,0,0,0,0,1,0,1
5,85,0,1,0,0,0,0,1,0,0,0,0
0,12,0,0,1,0,1,0,1,0,0,0,1
0,21,0,1,0,0,1,0,0,0,0,0,1
0,6,0,0,1,0,0,0,1,0,0,0,1
0,36,0,0,1,0,1,0,0,0,1,0,1
0,25,0,0,1,0,0,0,1,0,0,0,1
3,82,0,0,1,0,0,0,1,0,0,1,0
3,13,0,1,0,0,1,0,1,0,0,1,0
2,13,0,0,0,0,1,0,0,0,0,0,1
0,17,0,0,1,0,0,0,1,0,0,1,0
3,83,0,0,1,0,1,0,1,0,0,1,0
0,17,0,1,0,0,1,1,0,0,0,0,1
3,14,0,0,0,0,0,0,1,0,0,1,0
0,5,0,0,1,0,1,0,1,0,0,0,1
0,21,0,0,1,0,1,0,1,0,0,0,1
0,15,0,0,1,0,1,0,1,0,0,0,1
