simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,simplified_breed,simplified_size,days_in_shelter,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded,simplified_breed_encoded,simplified_size_encoded
GRAY_N_WHITE,FEMALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,15,4,0,0,2,0,0
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,24,6,0,0,2,1,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,22,6,1,0,2,1,0
BLACK_N_WHITE,MALE,4,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,OTHER,46,1,1,0,2,1,1
GRAY_TABBY,FEMALE,2,ILL,STRAY,DOMESTIC_SHORT_HAIR,SMALL,58,5,0,1,2,1,2
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,19,2,1,0,2,1,2
MIX,FEMALE,1,ILL,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,63,6,0,1,2,0,2
BLACK,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,31,0,1,0,2,1,2
BRN_TABBY,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,62,2,1,1,2,1,0
BLACK,MALE,1,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,17,0,1,0,2,1,2
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,46,2,0,0,1,1,0
ORG_TABBY,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,25,7,1,1,2,1,0
MIX,MALE,1,HEALTHY,STRAY,OTHER,SMALL,20,6,1,0,2,2,2
GRAY_TABBY,MALE,0,ILL,OTHER,DOMESTIC_SHORT_HAIR,KITTN,78,5,1,1,0,1,0
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,18,1,1,0,2,1,2
BLACK,FEMALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,17,0,0,1,2,1,0
TORTIE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,14,10,0,0,1,1,0
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,9,2,0,0,2,1,0
BLACK_N_WHITE,MALE,9,ILL,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,18,1,1,1,2,0,2
BRN_TABBY,FEMALE,1,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,33,2,0,0,2,1,2
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,14,2,0,0,1,0,0
GRAY_N_WHITE,MALE,0,OTHER,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,10,4,1,2,1,0,2
