age,days_stayed,simplified_color_black,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_female,simplified_sex_male,simplified_condition_ill_mild,simplified_condition_ill_severe,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_other,simplified_type_owner_surrender,simplified_type_stray
7,42,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
5,126,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
5,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,19,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
9,118,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
7,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
5,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
5,77,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
10,122,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
5,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
6,36,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
14,79,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7,184,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
7,69,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
9,31,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
10,114,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
5,72,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
10,57,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5,11,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
7,95,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
5,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
7,84,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,13,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
4,6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4,91,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
4,43,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
4,22,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,51,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
4,22,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4,22,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,22,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,146,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
4,25,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4,60,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4,61,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4,75,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4,24,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4,13,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
4,34,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
8,25,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
4,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4,65,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
4,199,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
4,6,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
4,47,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
4,63,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,105,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
9,25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
4,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
